word,m_embodiment,sd_embodiment
pave,2.94,1.81
pay,3.03,1.64
peddle,4.71,2.04
peel,4.35,1.87
perish,4.16,1.9
permit,2.89,1.68
pester,3.56,1.89
pick,4.47,2.1
pierce,5.22,1.96
pillage,3.58,2.06
pinch,5.9,1.68
point,5.31,1.88
ponder,3.35,1.89
pour,4.32,2.02
praise,3.39,1.98
pray,4.39,1.84
preach,3.97,1.93
predict,2.58,1.46
prefer,2.44,1.56
prepare,3.71,1.49
preserve,2.78,1.46
produce,4.06,1.97
prohibit,2.94,1.76
promise,3.29,1.99
promote,2.64,1.69
protect,4.28,1.92
prove,2.89,1.71
pry,3.45,1.34
publish,2.68,1.74
punish,4.35,1.64
pursue,3.72,1.7
push,6.19,1.12
put,4.57,1.9
quit,3.06,1.83
raise,4.29,1.68
ramble,4.13,1.77
reach,5.61,1.68
react,4.63,1.55
realize,3.03,1.9
receive,3.48,1.63
recite,4.29,1.74
recognize,3.06,1.62
recommend,3.17,1.89
recover,4.17,1.93
reduce,2.58,1.5
refer,2.61,1.54
refine,2.86,1.82
reflect,2.53,1.52
refrain,3.08,1.59
regain,3.03,1.66
reject,3.06,1.92
relax,5.28,1.75
relieve,3.57,1.94
remain,3.13,1.71
remember,3.87,2
remind,2.84,1.63
remove,3.16,1.77
renew,2.68,1.42
renovate,3.26,1.81
rent,2.42,1.52
repair,4.54,1.88
repay,2.9,1.58
repeat,2.78,1.57
represent,2.64,1.68
repress,2.91,1.8
reprimand,2.97,1.22
resent,2.74,1.65
resign,3.08,1.99
resist,3.86,1.69
resolve,2.74,1.58
respect,2.64,1.78
rest,5.43,1.65
restore,2.97,1.58
retire,3.39,1.99
retreat,3.5,1.68
return,3.78,2
reveal,2.97,1.84
revise,2.35,1.5
revive,3.94,1.73
ride,4.77,1.56
rinse,4.74,1.96
rise,4.1,1.62
roam,4.61,1.54
roast,3.14,1.84
rob,4.91,1.98
rot,4.31,2.16
rotate,4.42,1.57
rush,4.25,1.63
sadden,3.36,1.91
satisfy,3.66,1.85
save,3.42,1.83
say,5.14,1.83
scold,4.31,1.89
scorch,3.19,1.66
scrape,4.71,2.09
scream,6.36,1.1
sculpt,4.84,1.59
see,6,1.61
seek,4.29,1.67
sell,3.86,1.99
send,3.71,2.01
separate,2.84,1.68
set,3.29,1.79
sever,3.71,1.6
