word,imageability,sd_rating,rt,sd_rt,n_raters
charge,3.4,2.3,1420.9,922.8,29
charm,4.5,2.2,1548.9,939.5,31
chart,5.7,2,1433.7,782.6,30
chase,4.4,2.2,1261.6,581.3,27
chasm,2.6,2.1,1316.6,613.5,31
chaste,2.5,2,1770,1038.6,30
chat,4.2,2.3,1503.4,1019.3,30
cheap,3.1,2.2,1550.5,1168.9,31
cheat,3.7,2.1,1842.6,1408.7,29
check,4.9,2.4,1674.7,976,30
cheek,6.4,1.4,1172.1,636,31
cheep,2.9,2,1839.5,1054.1,29
cheer,4.6,2.3,1736.2,1321,30
cheese,6.4,1.4,1007.4,337.7,30
chef,6.2,1.5,1037.1,396.9,31
chess,6.3,1.7,1083.3,395.1,30
chest,6.1,1.6,1235,715.7,31
chew,4.9,1.9,1299.2,730.4,30
chic,4,2.5,1524.6,746.8,29
chick,5.9,1.8,1349.3,810.8,29
chide,2.1,1.7,1500.3,829.6,30
chief,5.9,1.8,1428.1,1056.1,30
child,6.4,1.4,1148.9,631.6,31
chill,3.7,2.1,1406.7,601.4,30
chime,5.1,2.2,1275.2,606.3,30
chimp,6.6,1,1207.6,694.1,31
chin,6.2,1.6,1134.9,401.2,30
chip,5.7,2,1369.8,651.7,31
chirp,4.2,2.2,1825.5,1280.9,30
chive,4.7,2.5,1654.6,911.2,29
chock,1.8,1.1,1849.8,1057.6,29
choice,2.6,1.9,1459.4,766.9,30
choir,5.5,1.8,1336.3,807.6,27
choke,5,2,1359.9,580.2,31
choose,2.3,1.6,1383,781.5,28
chop,4.5,2.2,1508.3,1231.1,30
chord,4.6,2.4,1515.4,836.6,29
chore,4.2,2.1,1580.7,1136.3,30
chose,2.8,2.2,1544,1331.4,30
chow,4.3,2.3,1613.4,991.6,30
chrome,5.9,1.9,1269.6,608.7,31
chuck,3.5,2.3,1882.1,1195.8,30
chug,4.1,2.3,1423.5,642.2,30
chum,3.7,2.3,1400.6,851.6,29
chump,3.9,2.2,1562.5,842.1,31
chunk,4.5,2.3,1497.3,839.8,30
church,6.7,1.2,1110.8,434.3,31
churn,4.9,2.3,1508.5,775.7,27
chute,3.7,2.3,1892.6,1044.4,30
cinch,2.7,1.9,1342.5,815.5,29
cite,2.3,1.6,1509.4,1008,31
clack,2,1.3,1397,966.7,29
clad,2.1,1.7,1751.9,1192.3,30
claim,2.6,2,1638.3,1254.6,30
clam,6,1.8,1472.8,870.3,31
clamp,4.6,2.5,1406.7,773.5,30
clan,4.9,2.1,1576.8,1255.3,29
clang,3,2.1,1421.9,695,31
clank,3,1.9,1482.6,1080.7,31
clap,5.6,1.7,1202.6,588.5,29
clash,3.8,2.2,1456.2,953.4,29
clasp,4.1,2.3,1765.3,1460.3,28
class,5.6,1.9,1522.9,1142.2,30
clause,2.4,1.9,1823.3,1127.2,30
claw,6,1.8,1306.9,607.6,30
clay,6.1,1.4,1283.6,750.1,30
clean,4.5,2.1,1329.6,654.6,29
cleanse,4,2.1,1511.8,866.9,27
clear,3.6,2.4,1796.1,1261.2,31
cleat,3.9,2.6,1602,1241.6,31
cleave,2.5,2,1523.8,635,29
clef,2.9,2.2,1532.3,1151.1,30
cleft,3.9,2.4,1496.6,750.9,31
clench,3.4,1.8,1512.5,743.9,31
clerk,6.2,1.6,1234.3,656.1,30
click,3.7,2.3,1994.4,1419.8,30
cliff,6.3,1.6,1231.7,532,31
climb,5.4,1.8,1278.2,656.8,30
clinch,3.3,2.2,1786.1,1090.4,31
cling,4,2.4,1237.9,819.6,31
clink,2.4,1.8,1186.3,675,31
